observed_at,window_start,window_end,brawler_id,mode_id,map_id,trophy_bucket,brawler_battles,brawler_wins,stratum_battles,stratum_slots,source_id
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,brawlBall,PinholePunt,low,1484,855,4311,25866,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,brawlBall,PinholePunt,low,1066,557,4311,25866,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,brawlBall,PinholePunt,mid,3755,2053,9213,55278,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,brawlBall,PinholePunt,mid,2743,1385,9213,55278,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,brawlBall,PinholePunt,mid,3183,1762,9213,55278,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,brawlBall,PinholePunt,mid,2324,1227,9213,55278,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,brawlBall,PinholePunt,high,506,297,1268,7608,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,brawlBall,PinholePunt,high,360,186,1268,7608,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,brawlBall,PinholePunt,high,388,217,1268,7608,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,brawlBall,PinholePunt,high,355,197,1268,7608,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,brawlBall,SneakySneak,low,1739,896,4634,27804,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,brawlBall,SneakySneak,low,1451,653,4634,27804,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,brawlBall,SneakySneak,low,1540,851,4634,27804,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,brawlBall,SneakySneak,low,1217,603,4634,27804,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,brawlBall,SneakySneak,mid,3684,1920,10409,62454,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,brawlBall,SneakySneak,mid,3054,1472,10409,62454,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,brawlBall,SneakySneak,mid,3792,2040,10409,62454,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,brawlBall,SneakySneak,mid,2462,1215,10409,62454,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,brawlBall,SneakySneak,high,475,243,1461,8766,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,brawlBall,SneakySneak,high,387,174,1461,8766,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,brawlBall,SneakySneak,high,488,264,1461,8766,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,brawlBall,SneakySneak,high,347,168,1461,8766,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,gemGrab,HardRockMine,low,1946,1134,4889,29334,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,gemGrab,HardRockMine,low,1433,766,4889,29334,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,gemGrab,HardRockMine,low,1710,905,4889,29334,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,gemGrab,HardRockMine,low,1352,716,4889,29334,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,gemGrab,HardRockMine,mid,3650,2076,8998,53988,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,gemGrab,HardRockMine,mid,2700,1403,8998,53988,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,gemGrab,HardRockMine,mid,3265,1658,8998,53988,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,gemGrab,HardRockMine,mid,2452,1344,8998,53988,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,gemGrab,HardRockMine,high,477,281,1364,8184,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,gemGrab,HardRockMine,high,356,189,1364,8184,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,gemGrab,HardRockMine,high,481,236,1364,8184,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,gemGrab,HardRockMine,high,314,174,1364,8184,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,gemGrab,DoubleSwoosh,low,1945,1000,5818,34908,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,gemGrab,DoubleSwoosh,low,1721,865,5818,34908,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,gemGrab,DoubleSwoosh,low,1954,1014,5818,34908,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,gemGrab,DoubleSwoosh,low,1663,848,5818,34908,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,gemGrab,DoubleSwoosh,mid,2796,1526,7728,46368,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,gemGrab,DoubleSwoosh,mid,2068,1023,7728,46368,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,gemGrab,DoubleSwoosh,mid,2673,1273,7728,46368,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,gemGrab,DoubleSwoosh,mid,2095,1068,7728,46368,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,gemGrab,DoubleSwoosh,high,605,340,1564,9384,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,gemGrab,DoubleSwoosh,high,412,225,1564,9384,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,gemGrab,DoubleSwoosh,high,499,232,1564,9384,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,gemGrab,DoubleSwoosh,high,425,208,1564,9384,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,gemGrab,UndermineGG,low,1631,900,4635,27810,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,gemGrab,UndermineGG,low,1409,724,4635,27810,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,gemGrab,UndermineGG,low,1598,821,4635,27810,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,gemGrab,UndermineGG,low,1160,595,4635,27810,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,gemGrab,UndermineGG,mid,3159,1750,8269,49614,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,gemGrab,UndermineGG,mid,2107,1086,8269,49614,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,gemGrab,UndermineGG,mid,2728,1336,8269,49614,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,gemGrab,UndermineGG,mid,2181,1137,8269,49614,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,gemGrab,UndermineGG,high,623,366,1648,9888,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,gemGrab,UndermineGG,high,496,258,1648,9888,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,gemGrab,UndermineGG,high,582,287,1648,9888,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,gemGrab,UndermineGG,high,402,203,1648,9888,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,showdown,SkullCreek,low,3059,1249,5077,50770,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,showdown,SkullCreek,low,2622,1211,5077,50770,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,showdown,SkullCreek,low,2586,1044,5077,50770,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,showdown,SkullCreek,low,1943,803,5077,50770,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,showdown,SkullCreek,mid,6464,2832,9701,97010,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,showdown,SkullCreek,mid,4550,2078,9701,97010,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,showdown,SkullCreek,mid,5321,2087,9701,97010,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,showdown,SkullCreek,mid,4545,1883,9701,97010,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,showdown,SkullCreek,high,970,458,1629,16290,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,showdown,SkullCreek,high,800,376,1629,16290,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,showdown,SkullCreek,high,960,368,1629,16290,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,showdown,SkullCreek,high,663,302,1629,16290,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,showdown,FeastOrFamine,low,2617,1001,4653,46530,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,showdown,FeastOrFamine,low,2431,1087,4653,46530,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,showdown,FeastOrFamine,low,2573,988,4653,46530,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,showdown,FeastOrFamine,low,1941,751,4653,46530,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,showdown,FeastOrFamine,mid,4957,2100,8305,83050,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,showdown,FeastOrFamine,mid,3519,1513,8305,83050,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,showdown,FeastOrFamine,mid,4964,1894,8305,83050,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,showdown,FeastOrFamine,mid,3881,1544,8305,83050,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,showdown,FeastOrFamine,high,675,302,1190,11900,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,showdown,FeastOrFamine,high,515,218,1190,11900,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,showdown,FeastOrFamine,high,587,220,1190,11900,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,showdown,FeastOrFamine,high,517,216,1190,11900,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,showdown,RockwallBrawl,low,3238,1312,5700,57000,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,showdown,RockwallBrawl,low,2432,1117,5700,57000,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,showdown,RockwallBrawl,low,2852,1162,5700,57000,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,showdown,RockwallBrawl,low,2345,953,5700,57000,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,showdown,RockwallBrawl,mid,7100,2988,10529,105290,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,showdown,RockwallBrawl,mid,5015,2270,10529,105290,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,showdown,RockwallBrawl,mid,6399,2590,10529,105290,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,showdown,RockwallBrawl,mid,4524,1866,10529,105290,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,SPIKE,showdown,RockwallBrawl,high,43,15,67,670,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,CROW,showdown,RockwallBrawl,high,34,17,67,670,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,ELPRIMO,showdown,RockwallBrawl,high,32,13,67,670,fixture-synthetic-v1
2026-06-17T00:00:00Z,2026-06-08T00:00:00Z,2026-06-15T00:00:00Z,PIPER,showdown,RockwallBrawl,high,27,9,67,670,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,SPIKE,brawlBall,BackyardBowl,low,1516,794,4524,27144,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,CROW,brawlBall,BackyardBowl,low,1288,594,4524,27144,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,ELPRIMO,brawlBall,BackyardBowl,low,1460,810,4524,27144,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,PIPER,brawlBall,BackyardBowl,low,1223,591,4524,27144,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,SPIKE,brawlBall,BackyardBowl,mid,3870,2060,9965,59790,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,CROW,brawlBall,BackyardBowl,mid,3142,1489,9965,59790,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,ELPRIMO,brawlBall,BackyardBowl,mid,3085,1711,9965,59790,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,PIPER,brawlBall,BackyardBowl,mid,2657,1288,9965,59790,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,SPIKE,brawlBall,BackyardBowl,high,470,268,1356,8136,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,CROW,brawlBall,BackyardBowl,high,351,183,1356,8136,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,ELPRIMO,brawlBall,BackyardBowl,high,394,194,1356,8136,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,PIPER,brawlBall,BackyardBowl,high,383,188,1356,8136,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,SPIKE,brawlBall,PinholePunt,low,1875,994,5277,31662,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,CROW,brawlBall,PinholePunt,low,1577,739,5277,31662,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,ELPRIMO,brawlBall,PinholePunt,low,1727,998,5277,31662,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,PIPER,brawlBall,PinholePunt,low,1395,701,5277,31662,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,SPIKE,brawlBall,PinholePunt,mid,3276,1813,9167,55002,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,CROW,brawlBall,PinholePunt,mid,2435,1210,9167,55002,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,ELPRIMO,brawlBall,PinholePunt,mid,2918,1621,9167,55002,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,PIPER,brawlBall,PinholePunt,mid,2608,1369,9167,55002,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,SPIKE,brawlBall,PinholePunt,high,566,317,1645,9870,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,CROW,brawlBall,PinholePunt,high,420,208,1645,9870,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,ELPRIMO,brawlBall,PinholePunt,high,563,310,1645,9870,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,PIPER,brawlBall,PinholePunt,high,436,213,1645,9870,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,SPIKE,brawlBall,SneakySneak,low,1643,848,4751,28506,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,CROW,brawlBall,SneakySneak,low,1299,590,4751,28506,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,ELPRIMO,brawlBall,SneakySneak,low,1735,958,4751,28506,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,PIPER,brawlBall,SneakySneak,low,1251,623,4751,28506,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,SPIKE,brawlBall,SneakySneak,mid,3158,1666,9292,55752,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,CROW,brawlBall,SneakySneak,mid,2368,1120,9292,55752,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,ELPRIMO,brawlBall,SneakySneak,mid,2763,1494,9292,55752,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,PIPER,brawlBall,SneakySneak,mid,2124,1071,9292,55752,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,SPIKE,brawlBall,SneakySneak,high,476,248,1213,7278,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,CROW,brawlBall,SneakySneak,high,337,176,1213,7278,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,ELPRIMO,brawlBall,SneakySneak,high,418,229,1213,7278,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,PIPER,brawlBall,SneakySneak,high,279,134,1213,7278,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,SPIKE,gemGrab,HardRockMine,low,2183,1250,5372,32232,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,CROW,gemGrab,HardRockMine,low,1369,672,5372,32232,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,ELPRIMO,gemGrab,HardRockMine,low,1696,887,5372,32232,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,PIPER,gemGrab,HardRockMine,low,1545,809,5372,32232,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,SPIKE,gemGrab,HardRockMine,mid,2772,1542,7844,47064,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,CROW,gemGrab,HardRockMine,mid,2008,1041,7844,47064,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,ELPRIMO,gemGrab,HardRockMine,mid,2494,1258,7844,47064,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,PIPER,gemGrab,HardRockMine,mid,1868,1035,7844,47064,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,SPIKE,gemGrab,HardRockMine,high,472,288,1435,8610,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,CROW,gemGrab,HardRockMine,high,461,269,1435,8610,fixture-synthetic-v1
2026-06-24T00:00:00Z,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z,ELPRIMO,gemGrab,HardRockMine,high,509,231,1435,8610,fixture-synthetic-v1
